Public School Name,District Name,LEA Code,CESA,School Code,School Type,Low Grade,High Grade,Contact,Contact Title,Physical Address,Mailing Address,Mailing City,Mailing Zip,Mailing Zip + 4,Shipping Address,Physical City,County Code,County Name,Phone,Extension,Fax,Email,Website,School Category,Charter,Virtual,District NCES,School NCES,Agency Type Description
Aldo Leopold Comm Sch K-8,Green Bay Area Public,2289,07,0020,Combined Elementary/Secondary School,K4,08,Trina  Lambert,Principal,622 Eliza St  Green Bay WI  54301-3229,"622 Eliza St Green Bay WI  54301-3229  ",Green Bay,54301,3229,"622 Eliza St Green Bay WI  54301-3229  ",Green Bay,05,Brown,920-448-2140,N/A,9204483552,tjlambert@gbaps.org,www.gbaps.org,Regular,No,Primarily Classroom (Supplemental Virtual),5505820,00610,Public school
Aldrich Intermediate,Beloit,0413,02,0020,Combined Elementary/Secondary School,04,08,Joe  Vrydaghs,Principal,1859 Northgate Dr  Beloit WI  53511-2699,"1859 Northgate Dr Beloit WI  53511-2699  ",Beloit,53511,2699,"1859 Northgate Dr Beloit WI  53511-2699  ",Beloit,53,Rock,608-361-3610,N/A,6083614122,vrydaghs@sdb.k12.wi.us,beloitschools.net/aldrich,Regular,No,Primarily Classroom (Supplemental Virtual),5501050,00137,Public school
Alexander Mid,Nekoosa,3906,05,0020,Combined Elementary/Secondary School,04,08,Clint  Rogers,Principal,540 Birch St  Nekoosa WI  54457-1318,"540 Birch St Nekoosa WI  54457-1318  ",Nekoosa,54457,1318,"540 Birch St Nekoosa WI  54457-1318  ",Nekoosa,71,Wood,715-886-8040,N/A,7158868097,clint_rogers@nekoosa.k12.wi.us,www.nekoosasd.net,Regular,No,Primarily Classroom (Supplemental Virtual),5510380,01358,Public school
Algoma El,Algoma,0070,07,0020,Elementary School,K4,06,Katie  Servi,Principal,514 Fremont St  Algoma WI  54201-1395,"514 Fremont St Algoma WI  54201-1395  ",Algoma,54201,1395,"514 Fremont St Algoma WI  54201-1395  ",Algoma,31,Kewaunee,920-487-7001,1103,9204877015,kservi@alghs.k12.wi.us,www.algomawolves.org,Regular,No,Primarily Classroom (Supplemental Virtual),5500150,00015,Public school
Algoma Hi,Algoma,0070,07,0040,High School,07,12,Nicholas  Cochart,Principal,1715 Division St  Algoma WI  54201-1498,"1715 Division St Algoma WI  54201-1498  ",Algoma,54201,1498,"1715 Division St Algoma WI  54201-1498  ",Algoma,31,Kewaunee,920-487-7001,2303,9204877005,ncochart@alghs.k12.wi.us,www.algomawolves.org,Regular,No,Primarily Classroom (Supplemental Virtual),5500150,00016,Public school
All Dist 4 Yr Old Kindergarten,Racine Unified,4620,01,0113,Elementary School,K4,PK,Culleen  Witthuhn,Principal,2015 Franklin St  Racine WI  53403-2634,"2015 Franklin St Racine WI  53403-2634  ",Racine,53403,2634,"2015 Franklin St Racine WI  53403-2634  ",Racine,51,Racine,262-664-8400,N/A,2626648225,culleen.witthuhn@rusd.org,www.rusd.org,Regular,No,Primarily Classroom (Supplemental Virtual),5512360,02657,Public school
Allen-Field El,Milwaukee,3619,01,0073,Elementary School,K3,05,Fritz  Blandon,Principal,730 W Lapham Blvd  Milwaukee WI  53204-3428,"730 W Lapham Blvd Milwaukee WI  53204-3428  ",Milwaukee,53204,3428,"730 W Lapham Blvd Milwaukee WI  53204-3428  ",Milwaukee,40,Milwaukee,414-902-9200,N/A,4149029215,073@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,01122,Public school
Allenton El,Slinger,5390,06,0010,Elementary School,K4,05,Angela  Wickus,Principal,228 Weis St  Allenton WI  53002-9570,"228 Weis St Allenton WI  53002-9570  ",Allenton,53002,9570,"228 Weis St Allenton WI  53002-9570  ",Allenton,66,Washington,262-629-5546,4010,2626291821,a.wickus@slingerschools.org,www.slinger.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5513950,01818,Public school
Alliance Sch of Milw,Milwaukee,3619,01,0413,High School,09,12,Allan  Laird,Teacher in Charge,850 W Walnut St  Milwaukee WI  53205,"850 W Walnut St Milwaukee WI  53205  ",Milwaukee,53205,,"850 W Walnut St Milwaukee WI  53205  ",Milwaukee,40,Milwaukee,414-267-5400,N/A,4142675415,042@milwaukee.k12.wi.us,www.allianceschool.org,Regular,Charter,Primarily Classroom (Supplemental Virtual),5509600,02603,Public school
Allis El,Madison Metropolitan,3269,02,0225,Elementary School,K4,05,Sue  Abplanalp,Principal,4201 Buckeye Rd  Madison WI  53716-1648,"4201 Buckeye Rd Madison WI  53716-1648  ",Madison,53716,1648,"4201 Buckeye Rd Madison WI  53716-1648  ",Madison,13,Dane,608-204-1066,N/A,6082040364,sabplanalp@madison.k12.wi.us,www.madison.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508520,00929,Public school
Alma El,Alma,0084,04,0020,Elementary School,K4,08,Jane  Bremer,Principal Grades K4-6,S1618 State Road 35  Alma WI  54610-8301,"S1618 State Road 35 Alma WI  54610-8301  ",Alma,54610,8301,"S1618 State Road 35 Alma WI  54610-8301  ",Alma,06,Buffalo,608-685-4416,323,6086854446,bremerj@alma.k12.wi.us,www.alma.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500180,00017,Public school
Alma Hi,Alma,0084,04,0040,High School,09,12,Robert  Stewart,District Administrator,S1618 State Road 35  Alma WI  54610-8301,"S1618 State Road 35 Alma WI  54610-8301  ",Alma,54610,8301,"S1618 State Road 35 Alma WI  54610-8301  ",Alma,06,Buffalo,608-685-4416,209,6086854446,stewartr@alma.k12.wi.us,www.alma.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500180,00018,Public school
Almena El,Barron Area,0308,11,0020,Elementary School,KG,04,Jennifer  Clemens,Principal,230 Lulu Ave  Almena WI  54805,"PO Box 86 Almena WI  54805-0086  ",Almena,54805,0086,"100 W River Ave Barron WI  54812  ",Almena,03,Barron,715-537-5621,331,7153576513,clemensj@barron.k12.wi.us,www.barron.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500870,00113,Public school
Almond-Bancroft El,Almond-Bancroft,0105,05,0020,Elementary School,K4,05,Jeff  Rykal,Principal,1336 Elm St  Almond WI  54909,"1336 Elm St Almond WI  54909  ",Almond,54909,,"1336 Elm St Almond WI  54909  ",Almond,49,Portage,715-335-4411,416,7153662943,jrykal@abschools.k12.wi.us,www.abschools.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500240,00023,Public school
Almond-Bancroft Hi,Almond-Bancroft,0105,05,0040,High School,09,12,Jeff  Rykal,Principal,1336 Elm St  Almond WI  54909,"1336 Elm St Almond WI  54909  ",Almond,54909,,"1336 Elm St Almond WI  54909  ",Almond,49,Portage,715-366-2941,416,7153662943,jrykal@abschools.k12.wi.us,www.abschools.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500240,00024,Public school
Almond-Bancroft Mid,Almond-Bancroft,0105,05,0250,Middle School,06,08,Jeff  Rykal,Principal,1336 Elm St  Almond WI  54909,"1336 Elm St Almond WI  54909  ",Almond,54909,,"1336 Elm St Almond WI  54909  ",Almond,49,Portage,715-366-2941,416,7153662943,jrykal@abschools.k12.wi.us,www.abschools.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500240,03076,Public school
ALPS,Oshkosh Area,4179,06,0170,Combined Elementary/Secondary School,04,08,Jay  Jones,Principal,325 S Eagle St  Oshkosh WI  54902,"325 S Eagle St Oshkosh WI  54902  ",Oshkosh,54902,,"325 S Eagle St Oshkosh WI  54902  ",Oshkosh,70,Winnebago,920-424-0320,N/A,9204247514,jay.jones@oshkosh.k12.wi.us,www.oshkosh.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5511190,03364,Public school
Altoona El,Altoona,0112,10,0080,Elementary School,K4,03,Tara  Betlach,Interim Principal,157 Bartlett Ave  Altoona WI  54720-2361,"157 Bartlett Ave Altoona WI  54720-2361  ",Altoona,54720,2361,"157 Bartlett Ave Altoona WI  54720-2361  ",Altoona,18,Eau Claire,715-839-6050,202,7158396166,tbetlach@altoona.k12.wi.us,www.altoona.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500270,00028,Public school
Altoona Hi,Altoona,0112,10,0040,High School,09,12,Jason  LeMay,Principal,711 7th St W  Altoona WI  54720-1584,"711 7th St W Altoona WI  54720-1584  ",Altoona,54720,1584,"711 7th St W Altoona WI  54720-1584  ",Altoona,18,Eau Claire,715-839-6031,402,7158396028,jlemay@altoona.k12.wi.us,www.altoona.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500270,00026,Public school
Altoona Intermediate,Altoona,0112,10,0100,Elementary School,04,05,Andrea  Steffen,Principal,1903 Bartlett Ave  Altoona WI  54720-1799,"1903 Bartlett Ave Altoona WI  54720-1799  ",Altoona,54720,1799,"1903 Bartlett Ave Altoona WI  54720-1799  ",Altoona,18,Eau Claire,715-839-6030,302,7158396099,asteffen@altoona.k12.wi.us,www.altoona.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500270,02925,Public school
Altoona Mid,Altoona,0112,10,0060,Middle School,06,08,Daniel  Peggs,Principal,1903 Bartlett Ave  Altoona WI  54720-1799,"1903 Bartlett Ave Altoona WI  54720-1799  ",Altoona,54720,1799,"1903 Bartlett Ave Altoona WI  54720-1799  ",Altoona,18,Eau Claire,715-839-6030,302,7158396099,dpeggs@altoona.k12.wi.us,www.altoona.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500270,00027,Public school
Amery Hi,Amery,0119,11,0040,High School,09,12,Shawn C Doerfler,Principal,555 Minneapolis Ave S  Amery WI  54001-1598,"555 Minneapolis Ave S Amery WI  54001-1598  ",Amery,54001,1598,"555 Minneapolis Ave S Amery WI  54001-1598  ",Amery,48,Polk,715-268-9771,233,7152687792,doerflers@amerysd.k12.wi.us,www.amerysd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500300,00030,Public school
Amery Intermediate,Amery,0119,11,0050,Elementary School,03,05,Oralee  Schock,Principal,543 Minneapolis Ave S  Amery WI  54001-1522,"543 Minneapolis Ave S Amery WI  54001-1522  ",Amery,54001,1522,"543 Minneapolis Ave S Amery WI  54001-1522  ",Amery,48,Polk,715-268-9771,277,7152685612,schocko@amerysd.k12.wi.us,www.amerysd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500300,00075,Public school
Amery Mid,Amery,0119,11,0060,Middle School,06,08,Thomas J Bensen,Principal,501 Minneapolis Ave S  Amery WI  54001-1565,"501 Minneapolis Ave S Amery WI  54001-1565  ",Amery,54001,1565,"501 Minneapolis Ave S Amery WI  54001-1565  ",Amery,48,Polk,715-268-9771,303,7152684967,bensent@amerysd.k12.wi.us,www.amerysd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500300,00031,Public school
Amherst El,Tomorrow River,0126,05,0020,Elementary School,K4,04,Sherry  Oleson,Principal,357 N Main St  Amherst WI  54406-9102,"357 N Main St Amherst WI  54406-9102  ",Amherst,54406,9102,"357 N Main St Amherst WI  54406-9102  ",Amherst,49,Portage,715-824-5523,427,7158245474,soleson@amherst.k12.wi.us,www.amherst.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500330,00032,Public school
Amherst Hi,Tomorrow River,0126,05,0060,High School,09,12,Mark  Luetschwager,Principal,357 N Main St  Amherst WI  54406-9102,"357 N Main St Amherst WI  54406-9102  ",Amherst,54406,9102,"357 N Main St Amherst WI  54406-9102  ",Amherst,49,Portage,715-824-5522,223,7158245454,mluetschwager@amherst.k12.wi.us,www.amherst.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500330,00033,Public school
Amherst Mid,Tomorrow River,0126,05,0080,Middle School,05,08,Phillip  Tubbs,Principal,357 N Main St  Amherst WI  54406-9102,"357 N Main St Amherst WI  54406-9102  ",Amherst,54406,9102,"357 N Main St Amherst WI  54406-9102  ",Amherst,49,Portage,715-824-5524,308,7158246354,ptubbs@amherst.k12.wi.us,www.amherst.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500330,00034,Public school
Amy Belle El,Germantown,2058,01,0020,Elementary School,PK,05,Katie  Kohel,Principal,3294 Willow Creek Rd  Colgate WI  53017-9534,"3294 Willow Creek Rd Colgate WI  53017-9534  ",Colgate,53017,9534,"3294 Willow Creek Rd Colgate WI  53017-9534  ",Colgate,66,Washington,262-628-7825,N/A,2626287672,kkohel@gsdwi.org,www.germantownschools.org,Regular,No,No,5505160,00549,Public school
Andrew Douglas Sch,Milwaukee,3619,01,0124,Elementary School,K3,08,Zerda  Palmer,Principal,3620 N 18th St  Milwaukee WI  53206-2362,"3620 N 18th St Milwaukee WI  53206-2362  ",Milwaukee,53206,2362,"3620 N 18th St Milwaukee WI  53206-2362  ",Milwaukee,40,Milwaukee,414-256-8205,N/A,4149886704,lawrenrl@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,03056,Public school
Antigo Hi,Antigo Unified,0140,09,0070,High School,08,12,Clint  Rogers,Principal,1900 10th Ave  Antigo WI  54409-1015,"1900 10th Ave Antigo WI  54409-1015  ",Antigo,54409,1015,"1900 10th Ave Antigo WI  54409-1015  ",Antigo,34,Langlade,715-623-7611,N/A,7156237624,crogers@antigoschools.org,www.antigo.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500360,00037,Public school
Antigo Mid,Antigo Unified,0140,09,0050,Middle School,06,07,Amy  Dahms,Principal,815 7th Ave  Antigo WI  54409-1897,"815 7th Ave Antigo WI  54409-1897  ",Antigo,54409,1897,"815 7th Ave Antigo WI  54409-1897  ",Antigo,34,Langlade,715-623-4173,N/A,7156274982,adahms@antigoschools.org,www.antigo.k12.wi.us,Regular,No,No,5500360,00036,Public school
Appleton Bilingual Sch,Appleton Area,0147,06,0155,Elementary School,KG,06,Joel  Cannon,Principal,913 N Oneida St  Appleton WI  54911,"913 N Oneida St Appleton WI  54911  ",Appleton,54911,,"913 N Oneida St Appleton WI  54911  ",Appleton,44,Outagamie,920-832-6232,N/A,9208326355,cannonjoel@aasd.k12.wi.us,www.aasd.k12.wi.us/appletonbilingual,Regular,Charter,Primarily Classroom (Supplemental Virtual),5500390,02880,Public school
Appleton Community 4K,Appleton Area,0147,06,0165,Elementary School,K4,K4,Suzette  Preston,Principal,122 E College Ave Suite 1A  Appleton WI  54911,"122 E College Ave Suite 1A Appleton WI  54911  ",Appleton,54911,,"122 E College Ave Suite 1A Appleton WI  54911  ",Appleton,44,Outagamie,920-832-1742,N/A,9208321746,prestonsuzette@aasd.k12.wi.us,www.aasd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500390,02976,Public school
Appleton Cooperative Educ Ctr,Appleton Area,0147,06,0800,Combined Elementary/Secondary School,04,12,Heidi  Schmidt,Administrator,320 S Walnut St  Appleton WI  54911,"320 S Walnut St Appleton WI  54911  ",Appleton,54911,,"320 S Walnut St Appleton WI  54911  ",Appleton,44,Outagamie,920-997-1399,2116,9208325764,schmidtheidi@aasd.k12.wi.us,www.aasd.k12.wi.us,Alternative,No,Primarily Classroom (Supplemental Virtual),5500390,02679,Public school
Appleton eSchool,Appleton Area,0147,06,0440,High School,07,12,Matthew  Mineau,Principal,2121 Emmers Dr  Appleton WI  54915-3802,"2121 Emmers Dr Appleton WI  54915-3802  ",Appleton,54915,3802,"2121 Emmers Dr Appleton WI  54915-3802  ",Appleton,44,Outagamie,920-832-6212,N/A,9208321741,hansonerik@aasd.k12.wi.us,www.aasd.k12.wi.us,Regular,Charter,Exclusively Virtual,5500390,02549,Public school
