DISTRICT_CODE,SCHOOL_CODE,Juniors Last Year,Seniors Last Year,SCHOOL_NAME,DISTRICT_NAME,Juniors This Year,Seniors This Year,Public School Name,District Name,LEA Code,CESA,School Code,School Type,Low Grade,High Grade,Contact,Contact Title,Physical Address,Mailing Address,Mailing City,Mailing Zip,Mailing Zip + 4,Shipping Address,Physical City,County Code,County Name,Phone,Extension,Fax,Email,Website,School Category,Charter,Virtual,District NCES,School NCES,Agency Type Description
147,440.0,9,2,Appleton eSchool,Appleton Area,10,5,Appleton eSchool,Appleton Area,147,6,440,High School,07,12,Matthew  Mineau,Principal,2121 Emmers Dr  Appleton WI  54915-3802,2121 Emmers Dr Appleton WI  54915-3802  ,Appleton,54915.0,3802.0,2121 Emmers Dr Appleton WI  54915-3802  ,Appleton,44,Outagamie,920-832-6212,,9208321741.0,hansonerik@aasd.k12.wi.us,www.aasd.k12.wi.us,Regular,Charter,Exclusively Virtual,5500390.0,2549.0,Public school
147,490.0,10,23,Appleton Technical Academy,Appleton Area,22,16,Appleton Technical Acad,Appleton Area,147,6,490,High School,09,12,Mark  McQuade,Principal,610 N Badger Ave  Appleton WI  54914-4198,610 N Badger Ave Appleton WI  54914-4198  ,Appleton,54914.0,4198.0,610 N Badger Ave Appleton WI  54914-4198  ,Appleton,44,Outagamie,920-832-6234,,9208324198.0,mcquademark@aasd.k12.wi.us,www.aasd.k12.wi.us,Vocational,Charter,Primarily Classroom (Supplemental Virtual),5500390.0,2964.0,Public school
147,20.0,364,352,East High,Appleton Area,403,328,East Hi,Appleton Area,147,6,20,High School,09,12,Matthew  Mineau,Principal,2121 Emmers Dr  Appleton WI  54915-3802,2121 Emmers Dr Appleton WI  54915-3802  ,Appleton,54915.0,3802.0,2121 Emmers Dr Appleton WI  54915-3802  ,Appleton,44,Outagamie,920-832-6212,,9208324880.0,mineaumatthew@aasd.k12.wi.us,www.aasd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500390.0,47.0,Public school
147,450.0,23,28,Fox Cities Leadership Academy,Appleton Area,26,25,Fox Cities Leadership Acad,Appleton Area,147,6,450,High School,09,12,Patrick  Lee,Administrator,5000 N Ballard Rd  Appleton WI  54913-8942,5000 N Ballard Rd Appleton WI  54913-8942  ,Appleton,54913.0,8942.0,5000 N Ballard Rd Appleton WI  54913-8942  ,Appleton,44,Outagamie,920-832-4300,,9208324301.0,leepatrick@aasd.k12.wi.us,www.aasd.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5500390.0,2724.0,Public school
147,30.0,394,398,North High,Appleton Area,418,421,North Hi,Appleton Area,147,6,30,High School,09,12,David  Pynenberg,Principal,5000 N Ballard Rd  Appleton WI  54913-8942,5000 N Ballard Rd Appleton WI  54913-8942  ,Appleton,54913.0,8942.0,5000 N Ballard Rd Appleton WI  54913-8942  ,Appleton,44,Outagamie,920-832-4300,,9208324301.0,pynenbergdavid@aasd.k12.wi.us,www.aasd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500390.0,597.0,Public school
147,420.0,38,34,Renaissance School,Appleton Area,27,43,Renaissance Sch,Appleton Area,147,6,420,High School,09,12,Todd  Kadolph,Principal,610 N Badger Ave  Appleton WI  54914-4198,610 N Badger Ave Appleton WI  54914-4198  ,Appleton,54914.0,4198.0,610 N Badger Ave Appleton WI  54914-4198  ,Appleton,44,Outagamie,920-832-5708,,9208324198.0,kadolphtodd@aasd.k12.wi.us,www.aasd.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5500390.0,2282.0,Public school
147,430.0,24,39,Tesla Engineering Charter School,Appleton Area,34,23,Tesla Engineering Charter Sch,Appleton Area,147,6,430,High School,09,12,Paul  Weisse,Principal,2121 Emmers Dr  Appleton WI  54915-3802,2121 Emmers Dr Appleton WI  54915-3802  ,Appleton,54915.0,3802.0,2121 Emmers Dr Appleton WI  54915-3802  ,Appleton,44,Outagamie,920-832-6212,,9208324880.0,weissepaul@aasd.k12.wi.us,www.aasd.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5500390.0,2547.0,Public school
147,460.0,14,11,Valley New School,Appleton Area,12,11,Valley New Sch,Appleton Area,147,6,460,High School,07,12,James  Huggins,Administrator,10 E College Ave Ste 228  Appleton WI  54911-6138,10 E College Ave Ste 228 Appleton WI  54911-6138  ,Appleton,54911.0,6138.0,10 E College Ave Ste 228 Appleton WI  54911-6138  ,Appleton,44,Outagamie,920-832-6301,,9208321725.0,demaysteven@aasd.k12.wi.us,www.aasd.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5500390.0,3341.0,Public school
147,40.0,254,300,West High,Appleton Area,344,265,West Hi,Appleton Area,147,6,40,High School,09,12,Mark  McQuade,Principal,610 N Badger Ave  Appleton WI  54914-4198,610 N Badger Ave Appleton WI  54914-4198  ,Appleton,54914.0,4198.0,610 N Badger Ave Appleton WI  54914-4198  ,Appleton,44,Outagamie,920-832-6219,,9208324198.0,mcquademark@aasd.k12.wi.us,www.aasd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500390.0,48.0,Public school
147,850.0,56,74,Wisconsin Connections Academy,Appleton Area,68,80,Wis Connections Acad,Appleton Area,147,6,850,Combined Elementary/Secondary School,KG,12,Michelle  Mueller,Principal,350 W Capitol Dr  Appleton WI  54911,350 W Capitol Dr Appleton WI  54911  ,Appleton,54911.0,,350 W Capitol Dr Appleton WI  54911  ,Appleton,44,Outagamie,920-997-1399,2218.0,9208326284.0,muellermichell@aasd.k12.wi.us,www.aasd.k12.wi.us,Regular,Charter,Exclusively Virtual,5500390.0,2825.0,Public school
154,40.0,79,91,Arcadia High,Arcadia,92,91,Arcadia Hi,Arcadia,154,4,40,High School,09,12,Alan  Herman,Principal,756 Raider Dr  Arcadia WI  54612-9025,756 Raider Dr Arcadia WI  54612-9025  ,Arcadia,54612.0,9025.0,756 Raider Dr Arcadia WI  54612-9025  ,Arcadia,61,Trempealeau,608-323-3315,3131.0,6083238181.0,hermana@arcadia.k12.wi.us,www.arcadia.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500420.0,68.0,Public school
161,40.0,19,26,Argyle High,Argyle,26,25,Argyle Hi,Argyle,161,3,40,High School,09,12,Michael  Beranek,Principal,14665 State Road 78  Argyle WI  53504,PO Box 256 Argyle WI  53504-0256  ,Argyle,53504.0,256.0,14665 State Road 78 Argyle WI  53504  ,Argyle,33,Lafayette,608-543-3318,304.0,6085433868.0,miberanek@argyle.k12.wi.us,www.argyle.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500450.0,70.0,Public school
2450,20.0,550,554,Arrowhead High,Arrowhead UHS,563,520,Arrowhead Hi,Arrowhead UHS,2450,1,20,High School,09,12,Gregg  Wieczorek,Principal,700 North Ave  Hartland WI  53029-1143,700 North Ave Hartland WI  53029-1143  ,Hartland,53029.0,1143.0,700 North Ave Hartland WI  53029-1143  ,Hartland,67,Waukesha,262-369-3611,4102.0,2623674693.0,wieczorek@arrowheadschools.org,www.arrowheadschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5506180.0,678.0,Public school
170,400.0,3,4,Lake Superior High,Ashland,2,1,Lake Superior Hi,Ashland,170,12,400,High School,09,12,Brian  Trettin,Principal,1900 Beaser Ave  Ashland WI  54806-3603,1900 Beaser Ave Ashland WI  54806-3603  ,Ashland,54806.0,3603.0,1900 Beaser Ave Ashland WI  54806-3603  ,Ashland,2,Ashland,715-682-7089,,7156822075.0,btrettin@sdak12.net,www.ashland.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5500510.0,3017.0,Public school
170,20.0,156,177,Ashland High,Ashland,185,149,Ashland Hi,Ashland,170,12,20,High School,09,12,Brian  Trettin,Principal,1900 Beaser Ave  Ashland WI  54806-3603,1900 Beaser Ave Ashland WI  54806-3603  ,Ashland,54806.0,3603.0,1900 Beaser Ave Ashland WI  54806-3603  ,Ashland,2,Ashland,715-682-7089,,7156822075.0,btrettin@sdak12.net,www.ashland.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500510.0,73.0,Public school
182,20.0,274,259,Ashwaubenon High,Ashwaubenon,265,255,Ashwaubenon Hi,Ashwaubenon,182,7,20,High School,09,12,Brian  Nelsen,Principal,2391 S Ridge Rd  Green Bay WI  54304-5093,2391 S Ridge Rd Green Bay WI  54304-5093  ,Green Bay,54304.0,5093.0,2391 S Ridge Rd Green Bay WI  54304-5093  ,Green Bay,5,Brown,920-492-2955,5334.0,9204922912.0,bnelsen@ashwaubenonk12.org,www.ashwaubenon.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500540.0,81.0,Public school
196,40.0,49,45,Athens High,Athens,47,43,Athens Hi,Athens,196,9,40,High School,09,12,Juli  Gauerke,Principal,601 W Village Limits Rd  Athens WI  54411-9552,PO Box F Athens WI  54411-0906  ,Athens,54411.0,906.0,601 W Village Limits Rd Athens WI  54411-9552  ,Athens,37,Marathon,715-257-7511,103.0,7152577651.0,jgauerke@athens1.org,www.athens1.org,Regular,No,Primarily Classroom (Supplemental Virtual),5500570.0,87.0,Public school
203,60.0,51,65,Auburndale High,Auburndale,68,65,Auburndale Hi,Auburndale,203,5,60,High School,06,12,James  Delikowski,Principal,10629 North Rd  Auburndale WI  54412,PO Box 139 Auburndale WI  54412  ,Auburndale,54412.0,,10629 North Rd Auburndale WI  54412  ,Auburndale,71,Wood,715-652-2115,2103.0,7156526322.0,jdelikowski@aubschools.com,www.aubschools.com,Regular,No,Primarily Classroom (Supplemental Virtual),5500600.0,91.0,Public school
217,40.0,34,31,Augusta High,Augusta,32,43,Augusta Hi,Augusta,217,10,40,High School,09,12,Ken  Abel,Principal,E19320 Bartig Rd  Augusta WI  54722-7501,E19320 Bartig Rd Augusta WI  54722-7501  ,Augusta,54722.0,7501.0,E19320 Bartig Rd Augusta WI  54722-7501  ,Augusta,18,Eau Claire,715-286-2291,3350.0,7152863393.0,kabel@augusta.k12.wi.us,www.augusta.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500630.0,93.0,Public school
217,410.0,9,11,Wildlands Charter School,Augusta,11,6,Wildlands Charter Sch,Augusta,217,10,410,High School,07,12,Jacob  Fields,Teacher in Charge,E19320 Bartig Rd  Augusta WI  54722-7501,E19320 Bartig Rd Augusta WI  54722-7501  ,Augusta,54722.0,7501.0,E19320 Bartig Rd Augusta WI  54722-7501  ,Augusta,18,Eau Claire,715-286-4400,,7158772234.0,jakefields@wildlandschool.net,www.augusta.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5500630.0,2586.0,Public school
231,40.0,117,110,Baldwin-Woodville High,Baldwin-Woodville Area,109,140,Baldwin-Woodville Hi,Baldwin-Woodville Area,231,11,40,High School,09,12,David  Brandvold,Principal,1000 13th Ave  Baldwin WI  54002,1000 13th Ave Baldwin WI  54002  ,Baldwin,54002.0,,1000 13th Ave Baldwin WI  54002  ,Baldwin,55,Saint Croix,715-684-3321,4102.0,7156845160.0,dbrandvold@bwsd.k12.wi.us,www.bwsd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500720.0,94.0,Public school
245,40.0,38,59,Bangor Middle/High,Bangor,56,44,Bangor Mid/Hi,Bangor,245,4,40,High School,06,12,Don  Addington,Principal,700 10th Ave S  Bangor WI  54614,PO Box 99 Bangor WI  54614-0099  ,Bangor,54614.0,99.0,700 10th Ave S Bangor WI  54614  ,Bangor,32,La Crosse,608-486-5201,,6084864587.0,daddington@bangorsd.net,www.bangor.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500780.0,101.0,Public school
280,40.0,219,261,Baraboo High,Baraboo,263,247,Baraboo Hi,Baraboo,280,5,40,High School,09,12,Glenn H Bildsten,Principal,1201 Draper St  Baraboo WI  53913-1299,1201 Draper St Baraboo WI  53913-1299  ,Baraboo,53913.0,1299.0,1201 Draper St Baraboo WI  53913-1299  ,Baraboo,56,Sauk,608-355-3940,,6083553962.0,gbildsten@barabooschools.net,www.baraboo.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500810.0,103.0,Public school
287,40.0,30,39,Barneveld High,Barneveld,40,18,Barneveld Hi,Barneveld,287,3,40,High School,06,12,Erin  Eslinger,Principal,304 S Jones St  Barneveld WI  53507,304 S Jones St Barneveld WI  53507  ,Barneveld,53507.0,,304 S Jones St Barneveld WI  53507  ,Barneveld,25,Iowa,608-924-4711,225.0,6089241646.0,eeslinger@barneveld.k12.wi.us,www.barneveld.k12.wi.us,Regular,No,No,5500840.0,112.0,Public school
308,810.0,11,7,Advanced Learning Academy of Wisconsin,Barron Area,10,11,Advanced Learning Acad of WI,Barron Area,308,11,810,Combined Elementary/Secondary School,KG,12,Jessica  Mullikin,Program Coordinator,Barron High 1050 E Woodland Ave Barron WI  54812-1052,Barron High 1050 E Woodland Ave Barron WI  54812-1052 ,Barron,54812.0,1052.0,Barron High 1050 E Woodland Ave Barron WI  54812-1052 ,Barron,3,Barron,715-537-5627,133.0,7156375161.0,mullikinj@barron.k12.wi.us,www.barron.k12.wi.us/schools/alaw.cfm,Regular,Charter,Exclusively Virtual,5500870.0,2864.0,Public school
308,30.0,101,83,Barron High,Barron Area,94,94,Barron Hi,Barron Area,308,11,30,High School,09,12,Kirk  Haugestuen,Principal,1050 E Woodland Ave  Barron WI  54812-1762,1050 E Woodland Ave Barron WI  54812-1762  ,Barron,54812.0,1762.0,1050 E Woodland Ave Barron WI  54812-1762  ,Barron,3,Barron,715-537-5627,,7156371603.0,haugestuenk@barron.k12.wi.us,www.barron.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500870.0,114.0,Public school
315,40.0,29,35,Bayfield High,Bayfield,36,25,Bayfield Hi,Bayfield,315,12,40,High School,09,12,Jeffrey  Gordon,Principal,300 N 4th St  Bayfield WI  54814,300 N 4th St Bayfield WI  54814  ,Bayfield,54814.0,,300 N 4th St Bayfield WI  54814  ,Bayfield,4,Bayfield,715-779-3201,101.0,7157795226.0,jgordon@bayfield.k12.wi.us,bayfield.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500900.0,121.0,Public school
336,40.0,267,265,Beaver Dam High,Beaver Dam Unified,254,260,Beaver Dam Hi,Beaver Dam Unified,336,6,40,High School,09,12,Crystal  Bates,Principal,500 Gould St  Beaver Dam WI  53916-1995,500 Gould St Beaver Dam WI  53916-1995  ,Beaver Dam,53916.0,1995.0,500 Gould St Beaver Dam WI  53916-1995  ,Beaver Dam,14,Dodge,920-885-7313,2112.0,9203925184.0,batesc@bdusd.org,www.bdusd.org,Regular,No,Primarily Classroom (Supplemental Virtual),5500960.0,123.0,Public school
336,850.0,45,12,Don Smith Learning Academy,Beaver Dam Unified,55,14,Don Smith Learning Acad,Beaver Dam Unified,336,6,850,High School,09,12,Dan  Lueck,Principal,400 E Burnett St  Beaver Dam WI  53916-1902,400 E Burnett St Beaver Dam WI  53916-1902  ,Beaver Dam,53916.0,1902.0,400 E Burnett St Beaver Dam WI  53916-1902  ,Beaver Dam,14,Dodge,920-885-7423,,9203925184.0,lueckd@bdusd.org,www.bdusd.org,Alternative,No,Primarily Classroom (Supplemental Virtual),5500960.0,2815.0,Public school
4263,60.0,15,19,Pembine High,Beecher-Dunbar-Pembine,20,20,Pembine Hi,Beecher-Dunbar-Pembine,4263,8,60,High School,07,12,Julie  Rittenhouse,Principal,N18775 Sauld St  Pembine WI  54156,PO Box 247 Pembine WI  54156-0247  ,Pembine,54156.0,247.0,N18775 Sauld St Pembine WI  54156  ,Pembine,38,Marinette,715-324-5314,215.0,7153245282.0,cmetras@pembine.k12.wi.us,www.pembine.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5511550.0,1530.0,Public school
350,40.0,57,73,Belleville High,Belleville,73,67,Belleville Hi,Belleville,350,2,40,High School,09,12,Nate  Perry,Principal,635 W Church St  Belleville WI  53508,635 W Church St Belleville WI  53508  ,Belleville,53508.0,,635 W Church St Belleville WI  53508  ,Belleville,13,Dane,608-835-6120,3440.0,6084243692.0,perryn@belleville.k12.wi.us,www.belleville.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500990.0,132.0,Public school
364,40.0,29,18,Belmont High,Belmont Community,21,32,Belmont Hi,Belmont Community,364,3,40,High School,06,12,Michael  Beranek,Principal,646 E Liberty St  Belmont WI  53510-9667,PO Box 348 Belmont WI  53510-0348  ,Belmont,53510.0,348.0,646 E Liberty St Belmont WI  53510-9667  ,Belmont,33,Lafayette,608-762-5131,,6087625129.0,beranekm@belmont.k12.wi.us,www.belmont.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5501020.0,135.0,Public school
413,421.0,86,46,Beloit Learning Academy,Beloit,98,43,Beloit Learning Acad,Beloit,413,2,421,Combined Elementary/Secondary School,06,12,Tina  Goecks,Principal,Wright Building 1033 Woodward Ave Beloit WI  53511-5426,Wright Building 1033 Woodward Ave Beloit WI  53511-5426 ,Beloit,53511.0,5426.0,Wright Building 1033 Woodward Ave Beloit WI  53511-5426 ,Beloit,53,Rock,608-361-4310,,6083614122.0,tgoecks@sdb.k12.wi.us,beloitschools.net/bla,Alternative,No,Primarily Classroom (Supplemental Virtual),5501050.0,2974.0,Public school
413,850.0,21,13,Beloit Virtual School,Beloit,12,4,Beloit Virtual Sch,Beloit,413,2,850,Combined Elementary/Secondary School,K4,12,Jennifer  Paepke,Director,1633 Keeler Ave  Beloit WI  53511-4713,1633 Keeler Ave Beloit WI  53511-4713  ,Beloit,53511.0,4713.0,1633 Keeler Ave Beloit WI  53511-4713  ,Beloit,53,Rock,608-361-4063,,6083614122.0,jpaepke@sdb.k12.wi.us,www.sdb.k12.wi.us,Regular,No,Exclusively Virtual,5501050.0,2799.0,Public school
413,200.0,413,431,Memorial High,Beloit,386,438,Memorial Hi,Beloit,413,2,200,High School,09,12,Carole  Campbell,Principal,1225 4th St  Beloit WI  53511-4497,1225 4th St Beloit WI  53511-4497  ,Beloit,53511.0,4497.0,1225 4th St Beloit WI  53511-4497  ,Beloit,53,Rock,608-361-3002,,6083614122.0,ccampbel@sdb.k12.wi.us,beloitschools.net/memorial,Regular,No,Primarily Classroom (Supplemental Virtual),5501050.0,146.0,Public school
413,410.0,4,3,Roy Chapman Andrews Academy,Beloit,4,5,Roy Chapman Andrews Acad,Beloit,413,2,410,Combined Elementary/Secondary School,06,12,Darrell  Williams,Administrator,1225 4th St  Beloit WI  53511,1225 4th St Beloit WI  53511  ,Beloit,53511.0,,1225 4th St Beloit WI  53511  ,Beloit,53,Rock,608-361-3000,,6083614122.0,dwilliams@sdb.k12.wi.us,beloitschools.net/rcaa,Regular,Charter,Primarily Classroom (Supplemental Virtual),5501050.0,2705.0,Public school
422,20.0,120,105,Turner High,Beloit Turner,108,113,Turner Hi,Beloit Turner,422,2,20,High School,09,12,Ryan  Bertelsen,Principal,1231 Inman Pkwy  Beloit WI  53511-1798,1231 Inman Pkwy Beloit WI  53511-1798  ,Beloit,53511.0,1798.0,1231 Inman Pkwy Beloit WI  53511-1798  ,Beloit,53,Rock,608-364-6370,,6083654768.0,bertelsenr@turnerschools.org,www.fjturner.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5501080.0,156.0,Public school
427,40.0,29,19,Benton High,Benton,20,19,Benton Hi,Benton,427,3,40,High School,09,12,Lisa M Lawrence,Principal,41 Alma St  Benton WI  53803,PO Box 7 Benton WI  53803-0007  ,Benton,53803.0,7.0,41 Alma St Benton WI  53803  ,Benton,33,Lafayette,608-759-4002,305.0,6087593805.0,lisalawrence@benton.k12.wi.us,www.benton.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5501110.0,161.0,Public school
434,40.0,150,126,Berlin High,Berlin Area,129,149,Berlin Hi,Berlin Area,434,6,40,High School,09,12,Lynn  Mork,Principal,222 Memorial Dr  Berlin WI  54923-1252,222 Memorial Dr Berlin WI  54923-1252  ,Berlin,54923.0,1252.0,222 Memorial Dr Berlin WI  54923-1252  ,Berlin,24,Green Lake,920-361-2000,,9203612005.0,lmork@berlin.k12.wi.us,www.berlin.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5501140.0,162.0,Public school
6013,20.0,127,125,Big Foot High,Big Foot UHS,128,109,Big Foot Hi,Big Foot UHS,6013,2,20,High School,09,12,Daniel  Dowden,Principal,401 Devils Ln  Walworth WI  53184,PO Box 99 Walworth WI  53184-0099  ,Walworth,53184.0,99.0,401 Devils Ln Walworth WI  53184  ,Walworth,64,Walworth,262-394-4409,,2622755117.0,djdowden@bigfoot.k12.wi.us,www.bigfoot.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5515480.0,1982.0,Public school
6013,9401.0,4,2,Walworth Co Educ Alt High,Big Foot UHS,6,1,Walworth Co Educ Alt Hi,Big Foot UHS,6013,2,9401,High School,09,12,Vacant,,N/A  ,   ,,,,N/A   ,,64,Walworth,,,,,,Regular,Charter,Primarily Classroom (Supplemental Virtual),5515480.0,,Public Schools-Multidistrict Charters
441,450.0,1,2,Birchwood Blue Hills Charter School,Birchwood,2,3,Birchwood Blue Hills Charter,Birchwood,441,11,450,High School,07,12,Jeffrey  Stanley,Principal,201 E Birch St  Birchwood WI  54817,300 S Wilson St Birchwood WI  54817-8841  ,Birchwood,54817.0,8841.0,300 S Wilson St Birchwood WI  54817-8841  ,Birchwood,65,Washburn,715-354-3471,,7153543469.0,jstanley@birchwood.k12.wi.us,www.birchwood.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5501170.0,2800.0,Public school
441,40.0,21,13,Birchwood High,Birchwood,14,15,Birchwood Hi,Birchwood,441,11,40,High School,09,12,Jeffrey  Stanley,Principal,300 S Wilson St  Birchwood WI  54817-8841,300 S Wilson St Birchwood WI  54817-8841  ,Birchwood,54817.0,8841.0,300 S Wilson St Birchwood WI  54817-8841  ,Birchwood,65,Washburn,715-354-3471,,7153543469.0,jstanley@birchwood.k12.wi.us,www.birchwood.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5501170.0,169.0,Public school
